guid,序号,课文标题,故事类型,故事含义,课文正文,故事寓意道理,内容类型,上线TAB,内容性质,一句话介绍,学名·确认版,钩子·确认版,url·确认版
6c03c957b8de4e6ebadfcd3ace4bae7f,11,画饼充饥,成语故事,比喻用空想来安慰自己，不能解决实际问题。,从前有一个人肚子饿得咕咕叫，可是身上没有钱、家里也没有食物。他饿得头昏眼花、四肢无力，坐在地上发呆。他想啊想啊，突然灵机一动，找来一根树枝在地上画了一张又大又圆的烙饼。他把这张'饼'画得非常逼真——金黄色的饼面、酥脆的边缘，还画上了热腾腾的蒸汽和香喷喷的芝麻。画完以后他就盯着地上的烙饼看，想象着自己正在吃这张香喷喷的大饼，嘴巴还不由自主地嚼了几下。他幻想着饼的香味飘进了鼻子，幻想着咬一口饼的那种满足感。可是幻想归幻想，画出来的饼终究是画在地上的，他看了半天、想了半天肚子还是饿得咕咕叫，一点也没有饱的感觉。因为画出来的饼是假的，不能真的拿来填饱肚子啊！,空想解决不了实际问题。遇到困难要采取实际行动，而不是靠幻想来自我安慰和自我欺骗。,故事,趣学成语,新增内容,画个大饼就不饿了？,画饼充饥,地上画个饼，肚子就能饱？,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_2d072689522225a1d2f00e06cecd2701.jpg
f247da880a1d42bab01af0b2cc86fbe9,12,一叶障目,成语故事,比喻被局部的表象所蒙蔽，看不到事物的全貌和本质。,楚国有一个穷书生，有一天他在一本古书上读到一段话说：'螳螂在捕蝉的时候，会用一片叶子遮住自己的身体，这样就能隐身让蝉看不到自己。'这个书生兴奋极了，心想：'如果我能找到这样一片叶子，不就可以隐身了吗？那我就能想要什么就拿什么了！'于是他跑到树林里找了好几天，终于找到一只螳螂正用一片叶子遮着身子捕蝉。他高兴地把那片叶子摘下来，举在自己眼前。然后他问妻子：'你能看到我吗？'妻子说：'当然看到了。'他换个角度再举，又问：'现在呢？'妻子被问烦了随口说：'看不到了。'书生如获至宝，拿着叶子跑到集市上，举着叶子挡在脸前就去拿别人摊位上的东西。结果当场就被人家抓住了，送到县衙审讯。县令听了他的理由后笑得不行，最后看他实在愚蠢就放了他。,不要被片面的信息或表象所蒙蔽。看问题要全面客观，盲信书本、自欺欺人只会闹笑话。,故事,趣学成语,新增内容,一片树叶就能让人隐身？,一叶障目,一片树叶，真能让人隐身？,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_82c5e6c4ca1cec4069d0f6bb92ae0843.jpg
7b2f1416e2734ad597d2c5ee2a025a7d,13,纸上谈兵,成语故事,比喻空谈理论，不能解决实际问题，不联系实际。,战国时期赵国有一位大将军叫赵奢，他英勇善战，立下过赫赫战功。赵奢的儿子赵括从小就熟读兵书，对各种军事理论和作战策略倒背如流。每次谈论起军事问题来头头是道、口若悬河，就连他的父亲赵奢有时候在理论辩论上都说不过他。但是赵奢并不因此高兴，反而忧心忡忡地对妻子说：'打仗是关乎生死存亡的大事，括儿却把它说得如此轻松简单。他只会纸上谈兵，没有实战经验，如果将来让他指挥军队必定要吃大亏。'后来秦赵在长平交战，赵王不顾众人反对让赵括代替老将廉颇担任主帅。赵括到了前线后完全按照兵书上的理论来指挥作战，不懂得根据战场上的实际情况灵活变通。结果被秦将白起设下埋伏包围，四十万赵军全军覆没，赵括自己也战死沙场。,理论必须和实践相结合。只会纸上谈兵而不懂实际操作是危险的，真正的能力来自于实践经验。,故事,趣学成语,新增内容,兵书倒背如流，上战场却不行,纸上谈兵,兵书倒背如流，就能打胜仗？,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_167ea12f55eafb2a76815bffa8048ffe.jpg
068cf50285264331b191a381afcbff45,14,高山流水,成语故事,比喻知音难觅，知己之间心意相通的深厚友情。,春秋时期，楚国有一位叫俞伯牙的人，他的琴弹得非常好，当时几乎无人能比。可是他总觉得缺少一个真正能听懂自己琴声的人。有一天伯牙在山间弹琴，一个叫钟子期的樵夫路过。伯牙弹琴时心中想着巍峨的高山，子期听了赞叹说：'好啊，巍峨高耸就像泰山一样！'伯牙心中又想着流水，子期又说：'好啊，浩浩荡荡就像江河一样！'不管伯牙心中想什么，子期都能准确无误地听出来。伯牙激动万分，终于找到了一位真正理解自己的知音啊！两人结为挚友，约定来年再相见。可惜一年后伯牙如约前来时却得知子期已经去世了。伯牙悲痛欲绝，他来到子期的坟前弹奏了最后一曲，然后将心爱的琴摔碎在子期墓前，从此终身不再弹琴，因为世上再没有人配听他的琴声了。,知音难得，真正理解自己的人非常珍贵。要珍惜身边懂你的人，珍重难得的真挚友情。,故事,趣学成语,新增内容,琴声里藏着的知音，千金难求,高山流水,懂你的人，比千金还难得,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_d28b8bd55aeadd8ba471bbd39d7281c8.jpg
bafff03095a7498791fda024da149724,15,鹏程万里,成语故事,比喻前程远大，未来充满无限可能。,庄子在他的名篇《逍遥游》中描写了一种叫鹏的巨鸟。在遥远的北海深处有一条巨大无比的鱼叫鲲，它的身体有好几千里长。有一天这条大鱼化身为一只巨大的鸟叫鹏。鹏的背就像泰山一样宽广，它的翅膀张开来就像遮天蔽日的巨大云彩。当大风来临的时候，鹏振翅高飞，翅膀拍打出来的气流卷起三千丈高的巨浪。它乘着旋风盘旋而上，飞到九万里的高空之上。从那么高的地方往下看，地面上的一切都变得渺小如蝼蚁。然后大鹏鸟从北海起飞，向着南方的天池飞去——它的目标是万里之遥的南海。途中那些小鸟小雀看到大鹏飞得那么高那么远，嘲笑说：'何必飞那么远呢？我们在树枝间飞来飞去不也挺好的吗？'可它们又哪里能理解大鹏鸟的鹏程万里之志呢？,人要有远大的抱负和志向，像大鹏鸟一样志存高远、展翅高飞。格局决定了人生的高度。,故事,趣学成语,新增内容,大鹏一飞就是几万里,鹏程万里,志向有多大，天地就有多宽,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_1f94662537d8d4e5ef1656f21c741a1d.jpg
f5e2f88a405e4110bea9d3a20a434338,16,守株待兔,成语故事,比喻不主动努力，心存侥幸，希望得到意外的收获。,战国时期，宋国有一个农夫，每天都在田里辛勤劳作。有一天，他正在田间干活，突然一只兔子从远处飞快地跑来，一头撞在田边的一个树桩上，当场撞断脖子死了。农夫白白捡了一只又肥又大的兔子，高兴极了。他把兔子带回家美美地吃了一顿，心想：'要是每天都能捡到一只兔子该多好啊！何必辛辛苦苦种庄稼呢？'从第二天开始，这个农夫就放下了锄头，整天坐在那个树桩旁边，眼巴巴地等着再有兔子来撞死。他等了一天又一天，日子一天天过去了，再也没有兔子来撞树桩。他的田地因为长期没人打理，杂草丛生，庄稼全都荒废了。到了秋天，别人家都在收获粮食，他却两手空空，既没等到兔子，也没了庄稼，成了宋国人的笑话。,不能把偶然发生的事当作常规。不劳而获的想法是不可取的，只有踏踏实实努力才能有收获。,故事,趣学成语,新增内容,等兔子撞树？别做梦了！,守株待兔,坐着等，就能天天捡兔子？,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_ba5f724720300cfd3c48fa3a375954b7.jpg
cb9ca332415d4f058d95383fa47d6053,17,坐井观天,成语故事,比喻眼界狭小，见识有限，看问题片面。,从前有一只青蛙，从出生起就一直住在一口枯井里。它每天抬头看天，只能看到井口那么大的一片天空。它觉得天空就这么小，非常满足。有一天，一只大海龟路过这口井，在井边歇脚。青蛙看到海龟就得意地说：'你看我这里多好啊，我想跳就跳，想游就游，多自在！你住在哪里啊？'海龟笑了笑说：'我住在东海里。东海有多大呢？用千里的距离都量不出它的广阔，用千尺的深度都测不到它的底。不管是洪水还是干旱，海水都不会有什么变化。住在大海里，那才叫真正的快乐呢！'青蛙听了，张大嘴巴半天说不出话来，这才知道自己的世界原来这么渺小。,不能像井底之蛙一样目光短浅。要走出去见识更广阔的世界，多看多学，才能开阔眼界。,故事,趣学成语,新增内容,青蛙说天只有井口大，你信吗？,坐井观天,天，真的只有井口那么大？,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_acc2dab816cb53e6d0a5c78a37c844c5.jpg
0a570a7f87b84a7babf40006f3f6c548,18,揠苗助长,成语故事,比喻违反事物的发展规律，急于求成，反而坏事。,古时候，宋国有个农夫，他在田里种了一片稻苗。他每天都到田边去看，总觉得稻苗长得太慢了，心里非常着急。他天天对着田里的禾苗发愁：'怎样才能让它们长得快一点呢？'有一天，他终于想到了一个办法。他跑到田里，弯下腰把每一棵禾苗都往上拔高了一截。从早上一直忙到太阳下山，累得筋疲力尽，腰都直不起来了。他拖着疲惫的身子回到家里，擦着汗对家人说：'今天可把我累坏了，不过总算没白干——我帮田里的禾苗都长高了一大截呢！'他的儿子听了觉得很奇怪，赶紧跑到田里去看。到了田边一看，那些禾苗不但没有长高，反而全都枯萎死掉了，因为根都被拔断了。农夫得知后后悔不已，但已经来不及了。,做事要遵循自然规律，不能急于求成。欲速则不达，过度干预反而会把事情搞砸。,故事,趣学成语,新增内容,拔高禾苗后会发生什么？,揠苗助长,把苗拔高，它就长得快？,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_25533a416f31533f892d588bbcb30d7d.jpg
45d2fca32c634205a6dbd4399b33db56,19,掩耳盗铃,成语故事,比喻自己欺骗自己，明明掩盖不了的事情偏要设法掩盖。,春秋时期，有个人看到邻居家门口挂着一口漂亮的大铜钟，非常喜欢，就想把它偷回家。可是这口钟太大太重了，搬不动。他想了想，决定用锤子把钟敲碎，然后一块一块搬回家。他找来锤子，使劲朝钟砸了一下，'当——'的一声，钟发出了巨大的响声，把他吓了一大跳。他赶紧捂住自己的耳朵，心想：'糟了，这钟声别人肯定也听到了！不行，我得想个办法让钟声别传出去。'他灵机一动，心想：'钟声之所以传出去，是因为耳朵能听到啊。只要我把耳朵堵住，不就听不到钟声了吗？'于是他找来两团棉花塞在自己耳朵里，然后放心大胆地砸起钟来。'当当当'的钟声传得老远老远，邻居们都跑来了，当场把他抓了个正着。他捂住了自己的耳朵，可是别人的耳朵并没有被捂住啊！,自欺欺人是愚蠢的行为。客观事实不会因为你不愿面对就不存在。,故事,趣学成语,新增内容,捂住自己耳朵偷铃铛，谁听不见？,掩耳盗铃,捂住耳朵，钟声就传不出去？,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_b755a28a2154285bbee04a5081a375bf.jpg
6d199a78878241c1a0138195a415e8d6,20,狐假虎威,成语故事,比喻借助别人的威势来欺压人。,在一片茂密的森林里，老虎是最凶猛的动物，所有的小动物都怕它。有一天，一只饥饿的老虎在森林里转来转去找食物，一眼看到了一只狐狸。老虎猛地扑上去，一把就把狐狸抓住了。狐狸吓得浑身发抖，但它很狡猾，眼珠子一转，计上心来。只见狐狸故作镇定地对老虎说：'你怎么敢吃我？我可是上天派来管理百兽的大王！你要是吃了我，就是违抗天帝的命令，天帝会惩罚你的！'老虎半信半疑地看着狐狸。狐狸接着说：'你要是不信，就跟在我后面到森林里走一趟，看看动物们是不是都怕我。'老虎想了想，决定试试看。于是狐狸大摇大摆地走在前面，老虎紧跟在后面。森林里的小动物们远远看到老虎来了，吓得纷纷逃命。狐狸得意地回头说：'你看到了吧？动物们都怕我！'老虎不知道动物们怕的其实是它自己，还真以为狐狸是百兽之王呢。,不要借别人的威势来吓唬人。狐假虎威的行为终究会被揭穿，要靠自己的真本事。,故事,趣学成语,新增内容,狐狸借着老虎的威风吓遍百兽！,狐假虎威,百兽逃散，怕的真是狐狸？,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_0dd4d2fab28854259d4371f0db8fa3df.jpg
cf69ba56472f4074b296177023ba0525,21,黔驴技穷,成语故事,比喻有限的本领已经用完了，再无办法。,古时候，贵州这个地方没有驴子，人们从来没有见过驴。有个好事的人用船运来了一头驴，放在山脚下。山里的老虎第一次看到驴，只见它身体高大、耳朵长长的，心想：'这是什么怪物？个头这么大，肯定很厉害吧！'老虎躲在树丛后面，远远地偷看，不敢靠近。过了几天，老虎壮着胆子走近了一些。驴突然大叫了一声'嗯啊——'老虎吓了一大跳，赶紧跑开，以为驴要来攻击它。又过了一段时间，老虎发现驴除了叫几声之外，好像没什么特别的本事，于是又走近了一些，在驴旁边蹭来蹭去故意挑逗它。驴终于生气了，抬起后蹄朝老虎踢去。老虎一闪就躲开了，心里反而高兴起来：'原来你就只会踢这一招啊！'老虎大吼一声，猛扑上去，一口咬住了驴的喉咙，把驴吃掉了。,做人要有真才实学，仅凭外表吓人是不能长久的。要不断学习，充实自己的本领。,故事,趣学成语,新增内容,驴的招数用完后，老虎笑了,黔驴技穷,个头这么大，就只会踢一脚？,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_c440d8646362ef6f1b74080612cf8e51.jpg
9d8eecc481a24209b92f76bfa8defc57,22,刻舟求剑,成语故事,比喻拘泥固执，不知变通，不能根据变化了的情况处理问题。,战国时期，楚国有一个人坐船过江。船行到江心的时候，他一不小心，身上佩戴的宝剑掉进了江里。船上的人都替他着急，叫他赶快跳下水去捞。可是这个人一点都不慌张，他不紧不慢地从口袋里掏出一把小刀，在船舷上剑掉下去的地方刻了一个记号。别人奇怪地问他：'你不赶紧捞剑，在船上刻记号干什么？'他得意地说：'别着急，我的剑就是从这个位置掉下去的，我做好记号了。等船靠了岸，我就从这个刻记号的地方跳下水去，准能把剑捞上来。'船上的人听了都忍不住笑了。船一直在走，可是掉在水里的剑不会跟着船走啊。等船靠了岸，他从刻记号的地方跳下水去摸了半天，当然什么也没找到。剑早就留在了最初落水的地方了。,事物是不断发展变化的，不能用老眼光看问题，要随着情况的变化灵活应对。,故事,趣学成语,新增内容,在船上刻记号找剑，能找到吗？,刻舟求剑,船一直在走，刻个号能找回？,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_4c7583c538af7f289574d70b4b4b5782.jpg
acce86027f2c4421938d265a1f4a1663,23,南辕北辙,成语故事,比喻行动和目的相反，努力的方向完全错了。,战国时期，有一个魏国人想去南方的楚国办事。他坐上马车出发了，可是他的马车却一直往北走。路上有人看到了，奇怪地问他：'楚国在南边，你怎么往北走啊？'这个人得意地说：'没关系，我的马跑得快！'路人说：'马再快，方向不对也到不了楚国啊！'这个人又说：'没关系，我带的盘缠多！'路人着急地说：'盘缠再多，你往北走永远也到不了南方的楚国！'这个人还是不以为然地说：'没关系，我的车夫驾车技术好！'路人叹了口气说：'你的马越好、盘缠越多、车夫技术越高，你就跑得越快，可是方向反了，跑得越快反而离楚国越远啊！'可是那个人就是不听劝，继续朝北走去。结果可想而知，他永远也到不了楚国。,做事情首先要方向正确。如果方向错了，条件再好、再努力也达不到目标，反而会离目标越来越远。,故事,趣学成语,新增内容,要去南边却往北走，越努力越远,南辕北辙,想去南边，他却往北赶路？,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_64c4243abfcbed5e9b908aa845751fef.jpg
a402c480544c40dfb380e97abc5fe238,24,鹬蚌相争,成语故事,比喻双方争执不下，两败俱伤，让第三方得利。,一个阳光灿烂的日子，一只河蚌从水里爬到岸边，张开两片硬壳，舒舒服服地晒太阳。正在这时，一只鹬鸟飞来了。它看到河蚌露出了鲜嫩的肉，馋得不得了，立刻伸出长长的嘴巴去啄蚌肉。河蚌吓了一跳，连忙把两片壳合起来，紧紧夹住了鹬鸟的嘴巴。鹬鸟拼命地想把嘴巴拔出来，可是蚌壳夹得太紧了，怎么也拔不出来。鹬鸟生气地说：'今天不下雨，明天不下雨，你就会干死的！'河蚌也不甘示弱地回答说：'今天不放你，明天不放你，你就会饿死的！'两个家伙就这样僵持着，谁也不肯让步，谁也不肯放手。正在这时候，一个渔夫从河边经过，看到这个情景，高兴坏了。他不费吹灰之力就把鹬鸟和河蚌一起抓住，放进了篓子里。鹬和蚌最终都成了渔夫的囊中之物。,双方争斗不休只会两败俱伤。遇到矛盾要懂得退让和协商，否则只会让第三方渔翁得利。,故事,趣学成语,新增内容,两个死磕，渔翁白捡便宜！,鹬蚌相争,互不相让，最后便宜了谁？,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_6c4f62fb58430a94b21724c03697d4ec.jpg
